d,o,h,l,c,v
2019/4/15,49.645,49.962502,49.502499,49.807499,70146400
2019/4/16,49.865002,50.342499,49.639999,49.8125,102785600
2019/4/17,49.884998,50.845001,49.6525,50.782501,115627200
2019/4/18,50.779999,51.037498,50.630001,50.965,96783200
2019/4/22,50.7075,51.235001,50.584999,51.1325,77758000
2019/4/23,51.107498,51.9375,50.974998,51.869999,93292000
2019/4/24,51.84,52.119999,51.762501,51.790001,70162400
2019/4/25,51.7075,51.939999,51.279999,51.32,74172800
2019/4/26,51.224998,51.25,50.529999,51.075001,74596400
2019/4/29,51.099998,51.4925,50.965,51.1525,88818800
2019/4/30,50.764999,50.849998,49.7775,50.1675,186139600
2019/5/1,52.470001,53.827499,52.307499,52.630001,259309200
2019/5/2,52.459999,53.162498,52.032501,52.287498,127985200
2019/5/3,52.7225,52.959999,52.557499,52.9375,83569600
2019/5/6,51.072498,52.209999,50.875,52.119999,129772400
2019/5/7,51.470001,51.855,50.2075,50.715,155054800
2019/5/8,50.474998,51.334999,50.4375,50.724998,105358000
2019/5/9,50.099998,50.419998,49.165001,50.18,139634400
2019/5/10,49.355,49.712502,48.192501,49.294998,164834800
2019/5/13,46.927502,47.369999,45.712502,46.43,229722400
2019/5/14,46.602501,47.424999,46.352501,47.165001,146118800
2019/5/15,46.567501,47.9375,46.505001,47.73,106178800
2019/5/16,47.477501,48.1175,47.209999,47.52,132125600
2019/5/17,46.732498,47.724998,46.689999,47.25,131516400
2019/5/20,45.880001,46.087502,45.07,45.772499,154449200
2019/5/21,46.305,47,46.174999,46.650002,113459200
2019/5/22,46.165001,46.427502,45.637501,45.695,118994400
2019/5/23,44.950001,45.134998,44.452499,44.915001,146118800
2019/5/24,45.049999,45.535,44.654999,44.7425,94858800
2019/5/28,44.73,45.147499,44.477501,44.557499,111792800
2019/5/29,44.105,44.837502,44,44.345001,113924800
2019/5/30,44.487499,44.807499,44.1675,44.575001,84873600
2019/5/31,44.057499,44.497501,43.747501,43.767502,108174400
2019/6/3,43.900002,44.48,42.567501,43.325001,161584400
2019/6/4,43.860001,44.9575,43.630001,44.91,123872000
2019/6/5,46.07,46.247501,45.285,45.634998,119093600
2019/6/6,45.77,46.3675,45.537498,46.305,90105200
2019/6/7,46.627499,47.98,46.442501,47.537498,122737600
