day,open,high,low,close,volume,entry,20daymax,maxday,HoldDays,ProfitRate,preday,preopen,prehigh,prelow,preclose,prevolume
2020/1/8,74.290001,76.110001,74.290001,75.797501,132079200,74.472001,81.962502,2020/1/29,21,10.058%,2020/1/7,74.959999,75.224998,74.370003,74.597504,108872000
2020/6/23,91,93.095001,90.567497,91.6325,212155600,90.8202474,99.955002,2020/7/13,20,10.058%,2020/6/22,87.834999,89.864998,87.787498,89.717499,135445200
2019/6/7,46.627499,47.98,46.442501,47.537498,122737600,46.5962509,51.27,2019/7/5,28,10.030%,2019/6/6,45.77,46.3675,45.537498,46.305,90105200
2020/11/10,115.550003,117.589996,114.129997,115.970001,138023400,114.4759969,125.949997,2020/12/9,29,10.023%,2020/11/9,120.5,121.989998,116.050003,116.32,154515300
2020/9/30,113.790001,117.260002,113.620003,115.809998,142675200,113.9840029,125.389999,2020/10/13,13,10.007%,2020/9/29,114.550003,115.309998,113.57,114.089996,99382200
2019/9/4,52.0975,52.369999,51.830002,52.297501,76752400,51.8840017,57.055,2019/10/1,27,9.966%,2019/9/3,51.607498,51.744999,51.055,51.424999,80092000
2020/9/15,118.330002,118.830002,113.610001,115.540001,184642000,114.1320011,125.389999,2020/10/13,28,9.864%,2020/9/14,114.720001,115.93,112.800003,115.360001,140150100
2020/11/4,114.139999,115.589996,112.349998,114.949997,138235500,112.6739978,123.779999,2020/12/3,29,9.857%,2020/11/3,109.660004,111.489998,108.730003,110.440002,107624400
2019/7/2,50.352501,50.782501,50.34,50.682499,67740800,50.3842501,55.342499,2019/7/31,29,9.841%,2019/7/1,50.7925,51.122501,50.162498,50.387501,109012000
2019/4/5,49.112499,49.275002,48.982498,49.25,74106400,49.0117484,53.827499,2019/5/1,26,9.826%,2019/4/4,48.697498,49.092499,48.285,48.922501,76457200
2019/3/20,46.557499,47.372501,46.182499,47.040001,124140800,46.3014992,50.845001,2019/4/17,28,9.813%,2019/3/19,47.087502,47.247501,46.48,46.6325,126585600
2020/12/18,128.960007,129.100006,126.120003,126.660004,192541500,126.4180033,138.789993,2020/12/29,11,9.787%,2020/12/17,128.899994,129.580002,128.039993,128.699997,94359800
2020/7/1,91.279999,91.839996,90.977501,91.027496,110737200,91.0637505,99.955002,2020/7/13,12,9.764%,2020/6/30,90.019997,91.495003,90,91.199997,140223200
2020/5/7,75.805,76.292503,75.4925,75.934998,115215200,75.5725003,82.9375,2020/6/5,29,9.746%,2020/5/6,75.114998,75.809998,74.717499,75.157501,142333600
2020/10/7,114.620003,115.550003,114.129997,115.080002,96849000,114.2719976,125.389999,2020/10/13,6,9.729%,2020/10/6,115.699997,116.120003,112.25,113.160004,161498200
2019/7/10,50.462502,50.932499,50.389999,50.807499,71588400,50.444249,55.342499,2019/7/31,21,9.710%,2019/7/9,49.799999,50.377499,49.702499,50.310001,82312000
2019/5/22,46.165001,46.427502,45.637501,45.695,118994400,45.7165011,50.1525,2019/6/20,29,9.703%,2019/5/21,46.305,47,46.174999,46.650002,113459200
2020/11/18,118.610001,119.82,118,118.029999,76322100,118.182,129.580002,2020/12/17,29,9.644%,2020/11/17,119.550003,120.669998,118.959999,119.389999,74271000
2019/7/11,50.827499,51.0975,50.427502,50.4375,80767200,50.4945018,55.342499,2019/7/31,20,9.601%,2019/7/10,50.462502,50.932499,50.389999,50.807499,71588400
2019/4/12,49.799999,50.035,49.052502,49.717499,111042800,49.1507518,53.827499,2019/5/1,19,9.515%,2019/4/11,50.212502,50.25,49.610001,49.737499,83603200
2020/12/16,127.410004,128.369995,126.559998,127.809998,98208600,126.7409977,138.789993,2020/12/29,13,9.507%,2020/12/15,124.339996,127.900002,124.129997,127.879997,157572300
2020/3/13,66.222504,69.980003,63.237499,69.4925,370732000,63.9117494,69.980003,2020/3/13,0,9.495%,2020/3/12,63.985001,67.5,62,62.057499,418474000
2019/4/8,49.105,50.057499,49.084999,50.025002,103526800,49.182249,53.827499,2019/5/1,23,9.445%,2019/4/5,49.112499,49.275002,48.982498,49.25,74106400
2019/8/29,52.125,52.330002,51.665001,52.252499,83962000,51.7315011,56.605,2019/9/12,14,9.421%,2019/8/28,51.025002,51.43,50.830002,51.3825,63755200
2020/5/8,76.410004,77.587502,76.072502,77.532501,134048000,76.224002,83.400002,2020/6/8,31,9.414%,2020/5/7,75.805,76.292503,75.4925,75.934998,115215200
2019/7/12,50.612499,51,50.549999,50.825001,70380800,50.5949991,55.342499,2019/7/31,19,9.383%,2019/7/11,50.827499,51.0975,50.427502,50.4375,80767200
2020/10/28,115.050003,115.43,111.099998,111.199997,143937800,111.5329982,121.989998,2020/11/9,12,9.376%,2020/10/27,115.489998,117.279999,114.540001,116.599998,92276800
2019/1/30,40.8125,41.537498,40.057499,41.3125,244439200,40.2054989,43.967499,2019/2/25,26,9.357%,2019/1/29,39.0625,39.532501,38.5275,38.669998,166348800
2019/9/16,54.432499,55.032501,54.389999,54.974998,84632400,54.4542492,59.532501,2019/10/14,28,9.326%,2019/9/13,55,55.197498,54.255001,54.6875,159053200
2019/9/13,55,55.197498,54.255001,54.6875,159053200,54.3492507,59.41,2019/10/11,28,9.312%,2019/9/12,56.200001,56.605,55.715,55.772499,128906800
2020/10/8,116.25,116.400002,114.589996,114.970001,83477200,114.7709966,125.389999,2020/10/13,5,9.252%,2020/10/7,114.620003,115.550003,114.129997,115.080002,96849000
2019/1/2,38.7225,39.712502,38.557499,39.48,148158800,38.6729993,42.25,2019/1/31,29,9.249%,,,,,,
2019/9/20,55.345001,55.639999,54.3675,54.432499,221652400,54.4947499,59.532501,2019/10/14,24,9.244%,2019/9/19,55.502499,55.939999,55.092499,55.240002,88242400
2019/7/19,51.447498,51.625,50.59,50.647499,83717200,50.6935,55.342499,2019/7/31,12,9.171%,2019/7/18,51,51.470001,50.924999,51.415001,74162400
2019/7/3,50.82,51.110001,50.672501,51.102501,45448000,50.716251,55.342499,2019/7/31,28,9.122%,2019/7/2,50.352501,50.782501,50.34,50.682499,67740800
2019/8/30,52.540001,52.612499,51.799999,52.185001,84573600,51.881249,56.605,2019/9/12,13,9.105%,2019/8/29,52.125,52.330002,51.665001,52.252499,83962000
2020/8/31,127.580002,131,126,129.039993,225702700,126.5,137.979996,2020/9/2,2,9.075%,2020/8/28,126.012497,126.442497,124.577499,124.807503,187630000
2019/3/18,46.450001,47.0975,46.447498,47.005001,104879200,46.5124982,50.712502,2019/4/9,22,9.030%,2019/3/15,46.212502,46.8325,45.935001,46.529999,156171600
2019/7/5,50.837502,51.27,50.724998,51.057499,69062000,50.7794982,55.342499,2019/7/31,26,8.986%,2019/7/3,50.82,51.110001,50.672501,51.102501,45448000
2020/5/6,75.114998,75.809998,74.717499,75.157501,142333600,74.8267489,81.550003,2020/6/3,28,8.985%,2020/5/5,73.764999,75.25,73.614998,74.389999,147751200
2019/3/19,47.087502,47.247501,46.48,46.6325,126585600,46.5567501,50.712502,2019/4/9,21,8.926%,2019/3/18,46.450001,47.0975,46.447498,47.005001,104879200
2020/10/9,115.279999,117,114.919998,116.970001,100506900,115.1279982,125.389999,2020/10/13,4,8.914%,2020/10/8,116.25,116.400002,114.589996,114.970001,83477200
2019/11/22,65.647499,65.794998,65.209999,65.445,65325200,65.2684989,71.0625,2019/12/23,31,8.877%,2019/11/21,65.922501,66.002502,65.294998,65.502502,121395200
2019/7/17,51.012501,51.272499,50.817501,50.837502,56430000,50.8630008,55.342499,2019/7/31,14,8.807%,2019/7/16,51.147499,51.5275,50.875,51.125,67467200
2019/8/12,49.904999,50.512501,49.787498,50.119999,89927600,49.8599983,54.195,2019/9/10,29,8.694%,2019/8/9,50.325001,50.689999,49.822498,50.247501,98478800
2019/9/9,53.709999,54.110001,52.767502,53.5425,109237600,52.9017519,57.482498,2019/10/7,28,8.659%,2019/9/6,53.512501,53.605,53.127499,53.314999,77449200
2019/7/16,51.147499,51.5275,50.875,51.125,67467200,50.94025,55.342499,2019/7/31,15,8.642%,2019/7/15,51.022499,51.467499,51,51.302502,67789600
2019/4/15,49.645,49.962502,49.502499,49.807499,70146400,49.5484993,53.827499,2019/5/1,16,8.636%,2019/4/12,49.799999,50.035,49.052502,49.717499,111042800
2019/9/17,54.990002,55.205002,54.779999,55.174999,73274800,54.8224993,59.532501,2019/10/14,27,8.591%,2019/9/16,54.432499,55.032501,54.389999,54.974998,84632400
2019/7/18,51,51.470001,50.924999,51.415001,74162400,50.9794992,55.342499,2019/7/31,13,8.558%,2019/7/17,51.012501,51.272499,50.817501,50.837502,56430000
2020/3/2,70.57,75.360001,69.43,74.702499,341397200,70.0230001,76,2020/3/3,1,8.536%,2020/2/28,64.315002,69.602501,64.092499,68.339996,426884800
